episode_overall,episode_in_season,Title,Directed by,Written by,air_date,prod_code,viewers_millions
126,26,"""Whistleblower""",Paul Lieberstein,Warren Lieberstein & Halsted Sullivan,"May 20, 2010",6026,6.64[146]
127,1,"""Nepotism""",Jeffrey Blitz,Daniel Chun,"September 23, 2010",7001,8.48[151]
128,2,"""Counseling""",Jeffrey Blitz,B. J. Novak,"September 30, 2010",7002,7.36[152]
129,3,"""Andy's Play""",John Stuart Scott,Charlie Grandy,"October 7, 2010",7003,6.95[153]
130,4,"""Sex Ed""",Paul Lieberstein,Paul Lieberstein,"October 14, 2010",7004,7.36[154]
131,5,"""The Sting""",Randall Einhorn,Mindy Kaling,"October 21, 2010",7005,6.87[155]
132,6,"""Costume Contest""",Dean Holland,Justin Spitzer,"October 28, 2010",7006,8.07[156]
133,7,"""Christening""",Alex Hardcastle,Peter Ocko,"November 4, 2010",7007,7.65[157]
134,8,"""Viewing Party""",Ken Whittingham,Jon Vitti,"November 11, 2010",7008,7.15[158]
135,9,"""WUPHF.com""",Danny Leiner,Aaron Shure,"November 18, 2010",7009,7.28[159]
136,10,"""China""",Charles McDougall,Halsted Sullivan & Warren Lieberstein,"December 2, 2010",7010,7.31[160]
137,11,"""Classy Christmas""‡",Rainn Wilson,Mindy Kaling,"December 9, 2010",7011,7.18[161]
138,12,,,,,7012,
,,,,,,,
139,13,"""Ultimatum""",David Rogers,Carrie Kemper,"January 20, 2011",7013,8.26[162]
140,14,"""The Seminar""",B. J. Novak,Steve Hely,"January 27, 2011",7014,7.93[163]
141,15,"""The Search""",Michael Spiller,Brent Forrester,"February 3, 2011",7015,7.29[164]
142,16,"""PDA""",Greg Daniels,Robert Padnick,"February 10, 2011",7017,6.90[165]
143,17,"""Threat Level Midnight""",Tucker Gates,B. J. Novak,"February 17, 2011",7016,6.41[166]
144,18,"""Todd Packer""",Randall Einhorn,Amelie Gillette,"February 24, 2011",7018,6.12[167]
145,19,"""Garage Sale""",Steve Carell,Jon Vitti,"March 24, 2011",7019,7.07[168]
146,20,"""Training Day""",Paul Lieberstein,Daniel Chun,"April 14, 2011",7020,7.87[169]
147,21,"""Michael's Last Dundies""",Mindy Kaling,Mindy Kaling,"April 21, 2011",7021,6.85[170]
148,22,"""Goodbye, Michael""†",Paul Feig,Greg Daniels,"April 28, 2011",7022,8.42[171]
149,23,"""The Inner Circle""",Matt Sohn,Charlie Grandy,"May 5, 2011",7023,6.90[172]
150,24,"""Dwight K. Schrute, (Acting) Manager""",Troy Miller,Justin Spitzer,"May 12, 2011",7024,6.45[173]
151,25,"""Search Committee""‡",Jeffrey Blitz,Paul Lieberstein,"May 19, 2011",7025,7.29[174]
152,26,,,,,7026,
,,,,,,,
153,1,"""The List""",B. J. Novak,B. J. Novak,"September 22, 2011",8002,7.64[176]
154,2,"""The Incentive""",Charles McDougall,Paul Lieberstein,"September 29, 2011",8001,6.70[177]
155,3,"""Lotto""",John Krasinski,Charlie Grandy,"October 6, 2011",8005,5.82[178]
156,4,"""Garden Party""",David Rogers,Justin Spitzer,"October 13, 2011",8004,6.08[179]
157,5,"""Spooked""",Randall Einhorn,Carrie Kemper,"October 27, 2011",8006,5.53[180]
